"datetime","mss_payload_id","mss_payload_mode","mss_payload_error","mss_payload_temp1","mss_payload_temp2","mss_payload_reserved","packet_version_number","packet_type","packet_secondary_header_flag","packet_id","packet_grouping_flag","packet_sequence_count","packet_data_length","time_ms_in_week","time_week_number","word_10_spare","ascii_data"
"09/27/2016 01:23:35.9620","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:35.9710","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:35.9800","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:35.9890","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:36.7980","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:36.8070","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:36.8160","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:36.8250","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:36.8330","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:36.8420","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:36.8510","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:36.8600","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:36.8680","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:36.8770","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:36.8860","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:37.8950","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:37.9040","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:37.9130","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:37.9220","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:37.9310","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:37.9400","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:37.9490","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:37.9570","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:37.9660","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:37.9750","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:37.9840","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:37.9940","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:38.8030","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:38.8120","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:38.8210","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:38.8300","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:38.8380","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:38.8470","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:38.8560","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:38.8650","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:38.8740","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:39.8830","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:39.8910","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:39.9000","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:39.9090","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:39.9180","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:39.9270","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:39.9360","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:39.9450","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
"09/27/2016 01:23:39.9560","402","1","0","41","34","0","0","False","True","1026","3","14","49","6122","0","0","tlm:hss - set output rate = 6000000 bps [in"
